Expt,Plate,Well,Strain,Rep,EvoTemp,AssayTemp,EvoLight,AssayLight,TargetOchConc,VolOch,VolK,VolPredFSW,D1Date,Pred,,D1OchPop,D2OchPop,D3OchPop,D4OchPop,,D1PredPop,D2PredPop,D3PredPop,D4PredPop,,ScopeCounter,,D1FSC,D2FSC,D3FSC,D4FSC,,D1RedF,D2RedF,D3RedF,D4RedF,,OchGrowthRate,OchCntrlGrowthRate,GrazingRate,MeanOch,OchCellsEaten,MeanOmarina,OchperOmarinaperday,OmarinaGrowthRate,Notes
1,5,C2,1393,E,30,18,100,50,125000,3.2,0.3,1.5,6/14/22,Control,,142034.009,132747.356,135886.254,145683.226,,0,0,0,0,,MH,,8290.86111,8220.56131,8218.76285,8255.73816,,8318.27191,8489.51607,8173.96197,8449.74097,,0.008456017,,,,,,,,
1,5,A3,1393,E,30,18,100,50,0,0,3.5,1.5,6/14/22,O.marina,,141.946875,141.980078,227.168061,170.387056,,1970,2070,1740,1450,,MH,,11720.4056,9293.50345,9082.13904,9686.68948,,5764.23037,3048.94105,9715.11437,2321.0231,,0,0,0,155.7343942,0,1696.740377,0,-0.102156662,
1,5,A4,1393,E,30,18,100,50,25000,0.7,2.8,1.5,6/14/22,O.marina,,27965.5934,14310.8529,6275.25033,4145.9072,,2050,2060,2050,1610,,MH,,9166.1375,9473.63565,10203.5808,9590.71528,,7777.81312,7892.71772,7464.51246,7440.88676,,-0.636284439,0.015715215,0.651999654,12478.53148,8135.9982,1821.149734,4.467506459,-0.080535205,
1,5,B3,1393,E,30,18,100,50,50000,1.3,2.2,1.5,6/14/22,O.marina,,51958.126,34101.7385,21238.9972,19395.4802,,1960,1990,2130,1950,,MH,,8966.50721,9107.60169,9205.1526,9233.09516,,7956.80014,8822.95176,8251.43539,8525.90987,,-0.328466022,0.029261978,0.357728,33045.1692,11821.18228,1954.995737,6.046653738,-0.001705034,
1,5,B4,1393,E,30,18,100,50,75000,1.9,1.6,1.5,6/14/22,O.marina,,79472.5097,55683.5812,40123.0268,36148.4952,,2100,1740,2120,1900,,MH,,8778.52143,8832.38371,8970.23256,9230.62942,,8043.75997,8551.32829,8664.58454,8863.82392,,-0.26259195,0.012148161,0.274740112,54995.35745,15109.43064,1998.332221,7.561020378,-0.033361153,
1,5,C3,1393,E,30,18,100,50,100000,2.5,1,1.5,6/14/22,O.marina,,105573.402,86921.6213,65905.4416,60628.4702,,2250,1470,1670,1580,,MH,,8682.57946,8487.61894,8589.03117,8738.86618,,8180.80675,8629.23716,8705.18948,9125.05417,,-0.184880626,-0.001975897,0.182904729,81034.1478,14821.52884,1895.303603,7.820134365,-0.117835123,
1,5,C4,1393,E,30,18,100,50,125000,3.2,0.3,1.5,6/14/22,O.marina,,138711.287,116198.437,89542.448,86351.1796,,2070,1680,2090,1970,,MH,,8511.60433,8318.80025,8618.43391,8794.59739,,8204.09552,8527.7485,8608.17154,8868.47999,,-0.157990745,0.008456017,0.166446762,110470.8323,18387.51236,2019.587391,9.104588609,-0.016505022,
1,6,A1,1393,F,30,18,100,50,0,0,3.5,1.5,6/14/22,Control,,0,0,28.387461,28.3881097,,0,0,0,0,,MH,,0,0,10210.7471,5182.2693,,0,0,10972.3561,7194.59828,,0,,,,,,,,
1,6,A2,1393,F,30,18,100,50,25000,0.7,2.8,1.5,6/14/22,Control,,29696.015,30723.206,30408.1774,30610.7754,,0,0,0,0,,MH,,9134.02746,8982.07906,9156.69422,9194.15044,,8339.49617,8294.50905,8141.90309,8255.00793,,0.010113074,,,,,,,,
1,6,B1,1393,F,30,18,100,50,50000,1.3,2.2,1.5,6/14/22,Control,,55901.7702,55424.5812,56192.3537,58352.9725,,0,0,0,0,,MH,,8921.95842,9033.31695,8983.5721,9359.00994,,8611.86215,8304.00244,8022.54385,8199.19551,,0.014304751,,,,,,,,
1,6,B2,1393,F,30,18,100,50,75000,1.9,1.6,1.5,6/14/22,Control,,87033.7047,79958.0587,80436.448,83359.7411,,0,0,0,0,,MH,,8718.3105,8861.84657,8842.44337,9028.0981,,8430.48363,8412.40316,8220.69311,8277.48974,,-0.014376661,,,,,,,,
1,6,C1,1393,F,30,18,100,50,100000,2.5,1,1.5,6/14/22,Control,,108521.137,108403.071,109787.916,103898.276,,0,0,0,0,,MH,,8696.53964,8611.26198,8625.76559,8915.33982,,8486.07408,8248.41191,8054.50537,8244.37578,,-0.014510887,,,,,,,,
1,6,C2,1393,F,30,18,100,50,125000,3.2,0.3,1.5,6/14/22,Control,,140223.554,129778.028,135341.844,136579.615,,0,0,0,0,,MH,,8784.61304,8720.0303,8600.1224,8840.82573,,8678.20165,8286.20657,8124.69479,8014.39961,,-0.008776753,,,,,,,,
1,6,A3,1393,F,30,18,100,50,0,0,3.5,1.5,6/14/22,O.marina,,312.28286,56.7900604,56.7922557,170.392874,,2230,1800,1890,1370,,MH,,8217.88027,21330.1328,13007.5774,9510.2256,,3167.11271,4528.25874,3847.57591,3423.25402,,0,0,0,234.2181916,0,1765.222002,0,-0.162396949,
1,6,A4,1393,F,30,18,100,50,25000,0.7,2.8,1.5,6/14/22,O.marina,,26489.8351,12380.2192,5820.89743,3634.86437,,2030,2400,1860,2450,,MH,,9525.1078,9776.96026,10218.9534,10653.4434,,7904.02241,7648.95166,7728.56549,8509.38655,,-0.662063093,0.010113074,0.672176168,11506.94496,7734.694165,2233.422048,3.463158328,0.062684077,
1,6,B3,1393,F,30,18,100,50,50000,1.3,2.2,1.5,6/14/22,O.marina,,51759.6565,32967.6533,18456.8478,14028.7639,,2010,1550,1670,1990,,MH,,9278.39854,9683.18145,9847.07014,10183.3384,,8199.6645,8243.03377,8110.76904,8338.70031,,-0.435167076,0.014304751,0.449471827,28901.46084,12990.3924,1999.983333,6.495250328,-0.003333361,
1,6,B4,1393,F,30,18,100,50,75000,1.9,1.6,1.5,6/14/22,O.marina,,82908.716,59487.5211,46084.7699,35808.1437,,1840,1710,1680,1950,,MH,,9176.43044,9224.20273,9505.05597,9831.47134,,8340.91028,8495.97726,8675.79465,8509.31212,,-0.27985495,-0.014376661,0.26547829,56101.17228,14893.64325,1894.467778,7.86165034,0.0193546,
1,6,C3,1393,F,30,18,100,50,100000,2.5,1,1.5,6/14/22,O.marina,,102234.126,80818.4813,61278.9131,53246.7814,,2200,1640,1650,1640,,MH,,9024.85733,9166.15108,9269.28329,9851.25678,,8359.55511,8348.90566,8396.27805,8678.31797,,-0.217442726,-0.014510887,0.202931839,75096.16536,15239.40292,1906.310824,7.9941858,-0.097920373,
1,6,C4,1393,F,30,18,100,50,125000,3.2,0.3,1.5,6/14/22,O.marina,,138118.709,110013.071,85482.8468,77444.7632,,2400,1880,1820,1410,,MH,,8769.06594,8892.97276,9107.30574,9194.52221,,8302.54342,8397.32724,8399.42294,8702.71734,,-0.192849525,-0.008776753,0.184072773,104872.6906,19304.20691,1861.325487,10.37121505,-0.177293011,
2,1,A1,2951,A,30,18,100,50,0,0,3.5,1.5,6/28/22,Control,,0,28.3900157,56.7858144,85.1803559,,0,0,0,0,,MH,,0,8726.20123,7114.60117,3087.38453,,0,643.132204,1056.66418,4699.89232,,0,,,,,,,,
2,1,A2,2951,A,30,18,100,50,25000,0.7,2.8,1.5,6/28/22,Control,,28417.2112,31569.1364,42955.354,77076.6312,,0,0,0,0,,MH,,8783.84379,8644.9014,8394.72031,7812.72545,,5227.21135,4568.14219,3972.94672,3976.84842,,0.332601716,,,,,,,,
2,1,B1,2951,A,30,18,100,50,50000,1.3,2.2,1.5,6/28/22,Control,,54677.9208,58936.5752,76935.7487,132003.9,,0,0,0,0,,MH,,8687.55273,8488.12445,8144.91215,7372.97157,,5246.44598,4464.23202,3947.86053,3907.94422,,0.293790494,,,,,,,,
2,1,B2,2951,A,30,18,100,50,75000,1.9,1.6,1.5,6/28/22,Control,,76765.7794,92119.1473,120012.442,178294.704,,0,0,0,0,,MH,,8544.98885,8145.27486,7824.47888,7459.08094,,5370.64393,4489.19655,3983.32794,3950.23986,,0.280892954,,,,,,,,
2,1,C1,2951,A,30,18,100,50,100000,2.5,1,1.5,6/28/22,Control,,106377.159,119604.462,149773.029,219623.353,,0,0,0,0,,MH,,8531.81505,8222.78813,7898.02585,7486.63177,,5370.80949,4575.88634,4059.16779,4003.0305,,0.241641055,,,,,,,,
2,1,C2,2951,A,30,18,100,50,125000,3.2,0.3,1.5,6/28/22,Control,,134023.715,152419.128,205556.491,272334.519,,0,0,0,0,,MH,,8437.0847,8035.34429,7810.06456,7460.08644,,5387.37032,4618.1754,4030.2628,3920.85502,,0.236338133,,,,,,,,
2,1,A3,2951,A,30,18,100,50,0,0,3.5,1.5,6/28/22,O.marina,,255.508916,85.1861001,113.59589,1533.57005,,2250,3210,2650,4480,,MH,,11380.8896,6178.64265,13980.036,8305.04403,,1795.50056,565.730678,3314.62301,3581.93647,,0,0,0,713.1654104,0,3238.018318,0,0.229564277,
